stop_id,at_street,corner_placement,heading,location_type,on_street,parent_station,stop_code,stop_desc,stop_lat,stop_lon,stop_name,stop_position,stop_timezone,stop_url,wheelchair_boarding,zone_id
1002,Burton,SW,144,0,Riverside,,1002,002021 Riverside & Burton,30.240341,-97.727308,Riverside/Burton,N,,https://www.capmetro.org/stopdetail/index.php?stop=1002,0,
1003,Willow Creek,NW,162,0,Riverside,,1003,002237 Riverside & Willow Creek,30.238275,-97.726015,2237 Riverside/Willow Creek,M,,https://www.capmetro.org/stopdetail/index.php?stop=1003,0,
1005,Pleasant Valley,SW,144,0,Riverside,,1005,002507 Riverside & Pleasant Valley,30.233867,-97.72376,2507 Riverside/Pleasant Valley,N,,https://www.capmetro.org/stopdetail/index.php?stop=1005,0,
1008,Huntwick,SW,118,0,Oltorf,,1008,004411 Oltorf & Huntwick,30.226619,-97.72626,4411 Oltorf/Huntwick,N,,https://www.capmetro.org/stopdetail/index.php?stop=1008,0,
1009,Oltorf,NE,67,0,Wickersham,,1009,002401 Wickersham & Oltorf,30.226039,-97.723488,2401 Wickersham/Oltorf,M,,https://www.capmetro.org/stopdetail/index.php?stop=1009,0,
1010,Cromwell,SE,45,0,Wickersham,,1010,002300 Wickersham & Cromwell,30.227021,-97.721847,Wickersham/Cromwell,N,,https://www.capmetro.org/stopdetail/index.php?stop=1010,0,
1011,Sheringham,SE,2,0,Wickersham,,1011,002207 Wickersham & Sheringham,30.229315,-97.721353,2207 Wickersham/Sheringham,N,,https://www.capmetro.org/stopdetail/index.php?stop=1011,0,
1013,Kirksey,SW,114,0,Riverside,,1013,004825 Riverside & Kirksey,30.231316,-97.717041,4825 Riverside/Kirksey,N,,https://www.capmetro.org/stopdetail/index.php?stop=1013,0,
1015,Faro,SE,125,0,Riverside,,1015,005401 Riverside & Faro,30.229169,-97.712324,5401 Riverside/Faro,M,,https://www.capmetro.org/stopdetail/index.php?stop=1015,0,
1017,Fairway,SW,200,0,Grove,,1017,001700 Grove & Fairway,30.229539,-97.706558,Ruiz Library,F,,https://www.capmetro.org/stopdetail/index.php?stop=1017,0,
1018,Faro,NW,302,0,Riverside,,1018,005300 Riverside & Faro,30.229833,-97.712898,Riverside/Faro,M,,https://www.capmetro.org/stopdetail/index.php?stop=1018,0,
1021,Crossing Place,NW,288,0,Riverside,,1021,004823 Riverside & Crossing Place,30.231928,-97.717861,4823 Riverside/Crossing Place,F,,https://www.capmetro.org/stopdetail/index.php?stop=1021,0,
1022,Riverside,SW,199,0,Wickersham,,1022,002100 Wickersham & Riverside,30.231526,-97.720884,2100 Wickersham/Riverside,F,,https://www.capmetro.org/stopdetail/index.php?stop=1022,0,
1023,Sheringham,NW,193,0,Wickersham,,1023,002200 Wickersham & Sheringham,30.229914,-97.721493,Wickersham/Sheringham,N,,https://www.capmetro.org/stopdetail/index.php?stop=1023,0,
1024,Cromwell,NW,199,0,Wickersham,,1024,002300 Wickersham & Cromwell,30.227534,-97.721731,2300 Wickersham/Cromwell,N,,https://www.capmetro.org/stopdetail/index.php?stop=1024,0,
1025,Oltorf,NW,239,0,Wickersham,,1025,002440 Wickersham & Oltorf,30.226083,-97.723784,2440 Wickersham/Oltorf,N,,https://www.capmetro.org/stopdetail/index.php?stop=1025,0,
1027,Oltorf,NE,28,0,Pleasant Valley,,1027,002433 Pleasant Valley & Oltorf,30.228028,-97.727241,2433 Pleasant Valley/Oltorf,M,,https://www.capmetro.org/stopdetail/index.php?stop=1027,0,
1028,Sheringham,SE,26,0,Pleasant Valley,,1028,002209 Pleasant Valley & Sheringham,30.231097,-97.725299,2209 Pleasant Valley/Sheringham,N,,https://www.capmetro.org/stopdetail/index.php?stop=1028,0,
1030,Willow Creek,NE,342,0,Riverside,,1030,002308 Riverside & Willow Creek,30.238065,-97.725635,Riverside/Willow Creek,M,,https://www.capmetro.org/stopdetail/index.php?stop=1030,0,
1032,Town Creek,SE,324,0,Riverside,,1032,002000 Riverside & Town Creek,30.24114,-97.727591,Riverside/Town Creek,N,,https://www.capmetro.org/stopdetail/index.php?stop=1032,0,
1033,Shore District,SE,328,0,Riverside,,1033,001800 Riverside & Shore District,30.242868,-97.728889,Riverside/Shore District,N,,https://www.capmetro.org/stopdetail/index.php?stop=1033,0,
1034,Summit,NE,312,0,Riverside,,1034,001600 Riverside & Summit,30.246505,-97.731969,1600 Riverside/Summit,N,,https://www.capmetro.org/stopdetail/index.php?stop=1034,0,
1038,Trinity,NE,287,0,Cesar Chavez,,1038,000400 Cesar Chavez & Trinity,30.26246,-97.74084,400 Cesar Chavez/Trinity,N,,https://www.capmetro.org/stopdetail/index.php?stop=1038,0,
1042,West Mall UT,SE,5,0,Guadalupe,,1042,002231 Guadalupe & West Mall UT,30.285738,-97.741618,2231 Guadalupe/West Mall UT,N,,https://www.capmetro.org/stopdetail/index.php?stop=1042,0,
1049,35Th,SE,28,0,Speedway,,1049,003400 Speedway & 35Th,30.299217,-97.734341,Speedway/35th,N,,https://www.capmetro.org/stopdetail/index.php?stop=1049,0,
1051,39Th,SE,28,0,Speedway,,1051,003800 Speedway & 39Th,30.301591,-97.732825,Speedway/39th,N,,https://www.capmetro.org/stopdetail/index.php?stop=1051,0,
1053,43Rd,NE,29,0,Speedway,,1053,004301 Speedway & 43Rd,30.306616,-97.729616,4301 Speedway/43rd,F,,https://www.capmetro.org/stopdetail/index.php?stop=1053,0,
1054,Avenue D,NE,301,0,45Th,,1054,000108 45Th & Avenue D,30.309112,-97.729235,108 45th Street/Avenue D,N,,https://www.capmetro.org/stopdetail/index.php?stop=1054,0,
1055,Avenue A,NE,300,0,45Th,,1055,000408 45Th & Avenue A,30.310425,-97.731878,408 45th Street/Avenue A,N,,https://www.capmetro.org/stopdetail/index.php?stop=1055,0,
1056,Guadalupe,NW,303,0,45Th,,1056,000636 45Th & Guadalupe,30.311122,-97.733277,619 45th/Guadalupe,F,,https://www.capmetro.org/stopdetail/index.php?stop=1056,0,
1057,Lamar,NE,301,0,45Th,,1057,000918 45Th & Lamar,30.313397,-97.737245,918 45th/Lamar,N,,https://www.capmetro.org/stopdetail/index.php?stop=1057,0,
1058,Lamar,NE,29,0,Sunshine,,1058,004701 Sunshine & Lamar,30.316434,-97.735717,Sunshine Station (NB),M,,https://www.capmetro.org/stopdetail/index.php?stop=1058,0,
1059,49Th,SE,29,0,Sunshine,,1059,004801 Sunshine & 49Th,30.317382,-97.735114,4801 Sunshine (Criss Cole Rehab),N,,https://www.capmetro.org/stopdetail/index.php?stop=1059,0,
1060,Grover,NE,296,0,49Th,,1060,001100 49Th & Grover,30.318791,-97.736647,1100 49th/Grover,N,,https://www.capmetro.org/stopdetail/index.php?stop=1060,0,
1061,Grover,NW,298,0,51St,,1061,001200 51St & Grover,30.320707,-97.735989,1200 51st/Grover,M,,https://www.capmetro.org/stopdetail/index.php?stop=1061,0,
1062,North,SE,28,0,Woodrow,,1062,005113 Woodrow & North,30.322371,-97.736892,5113 Woodrow/North,N,,https://www.capmetro.org/stopdetail/index.php?stop=1062,0,
1063,North Loop,SE,28,0,Woodrow,,1063,005223 Woodrow & North Loop,30.324061,-97.735824,5223 Woodrow/North Loop,N,,https://www.capmetro.org/stopdetail/index.php?stop=1063,0,
1064,Houston,SE,28,0,Woodrow,,1064,005413 Woodrow & Houston,30.326186,-97.734482,5413 Woodrow/Houston,N,,https://www.capmetro.org/stopdetail/index.php?stop=1064,0,
1065,Houston,NE,29,0,Woodrow,,1065,005515 Woodrow & Houston,30.327565,-97.733603,5515 Woodrow/Houston,M,,https://www.capmetro.org/stopdetail/index.php?stop=1065,0,
1066,Theckla,NE,28,0,Woodrow,,1066,005701 Woodrow & Theckla,30.329034,-97.732673,5701 Woodrow/Theckla,F,,https://www.capmetro.org/stopdetail/index.php?stop=1066,0,
1067,Koenig,SE,28,0,Woodrow,,1067,005819 Woodrow & Koenig,30.330737,-97.73158,5819 Woodrow/Koenig,N,,https://www.capmetro.org/stopdetail/index.php?stop=1067,0,
1068,Alguno,NE,8,0,Woodrow,,1068,006100 Woodrow & Alguno,30.332811,-97.730682,Woodrow/Alguno,M,,https://www.capmetro.org/stopdetail/index.php?stop=1068,0,
1069,Alegria,NE,29,0,Woodrow,,1069,006300 Woodrow & Alegria,30.334573,-97.730128,Woodrow/Alegria,M,,https://www.capmetro.org/stopdetail/index.php?stop=1069,0,
1070,Brentwood,SE,30,0,Woodrow,,1070,006523 Woodrow & Brentwood,30.337279,-97.72842,6523 Woodrow/Brentwood,N,,https://www.capmetro.org/stopdetail/index.php?stop=1070,0,
1072,Dwyce,NE,27,0,Woodrow,,1072,006800 Woodrow & Dwyce,30.340171,-97.726594,Woodrow/Dwyce,M,,https://www.capmetro.org/stopdetail/index.php?stop=1072,0,
1074,Piedmont,SE,18,0,Woodrow,,1074,007115 Woodrow & Piedmont,30.342849,-97.724984,7115 Woodrow/Piedmont,N,,https://www.capmetro.org/stopdetail/index.php?stop=1074,0,
1075,Pasadena,SE,3,0,Woodrow,,1075,007300 Woodrow & Pasadena,30.344977,-97.72521,Woodrow/Pasadena,N,,https://www.capmetro.org/stopdetail/index.php?stop=1075,0,
1076,Morrow,SE,28,0,Woodrow,,1076,007500 Woodrow & Morrow,30.34743,-97.723761,Woodrow/Morrow,N,,https://www.capmetro.org/stopdetail/index.php?stop=1076,0,
1077,Princeton,NE,350,0,Woodrow,,1077,007717 Woodrow & Princeton,30.34989,-97.72302,7717 Woodrow/Princeton,N,,https://www.capmetro.org/stopdetail/index.php?stop=1077,0,
1078,Wooten Park,NW,298,0,Anderson,,1078,001700 Anderson & Wooten Park,30.35279,-97.72362,1700 Anderson/Wooten Park,M,,https://www.capmetro.org/stopdetail/index.php?stop=1078,0,
1080,Mullen,NW,297,0,Anderson,,1080,001900 Anderson & Mullen,30.35401,-97.72622,Anderson/Mullen,F,,https://www.capmetro.org/stopdetail/index.php?stop=1080,0,
1085,Delano,NE,255,0,Jackie Robinson,,1085,005500 Jackie Robinson & Delano,30.276588,-97.67835,Jackie Robinson/Delano,N,,https://www.capmetro.org/stopdetail/index.php?stop=1085,0,
1089,Fort Branch,NW,265,0,Webberville,,1089,001420 Webberville & Fort Branch,30.27989,-97.681063,1420 Webberville/Fort Branch,F,,https://www.capmetro.org/stopdetail/index.php?stop=1089,0,
1091,Webberville,NW,297,0,12Th,,1091,004700 12Th & Webberville,30.278254,-97.684918,12th/Webberville,F,,https://www.capmetro.org/stopdetail/index.php?stop=1091,0,
1092,Springdale,NE,299,0,12Th,,1092,004600 12Th & Springdale,30.278941,-97.686682,4600 12th/Springdale,N,,https://www.capmetro.org/stopdetail/index.php?stop=1092,0,
1093,Cometa,NE,259,0,12Th,,1093,004100 12Th & Cometa,30.278639,-97.689538,12th/Cometa,N,,https://www.capmetro.org/stopdetail/index.php?stop=1093,0,
1094,E M Franklin,NE,264,0,12Th,,1094,003522 12Th & E M Franklin,30.277864,-97.694461,3522 12th/E M Franklin,N,,https://www.capmetro.org/stopdetail/index.php?stop=1094,0,
1096,Airport,NE,264,0,12Th,,1096,003250 12Th & Airport,30.276978,-97.700178,3250 12th/Airport,N,,https://www.capmetro.org/stopdetail/index.php?stop=1096,0,
1098,Harvey,NE,256,0,12Th,,1098,002900 12Th & Harvey,30.276346,-97.70424,12th/Harvey,N,,https://www.capmetro.org/stopdetail/index.php?stop=1098,0,
1099,Alexander,NE,260,0,12Th,,1099,002900 12Th & Alexander,30.275723,-97.708093,2900 12th/Alexander,N,,https://www.capmetro.org/stopdetail/index.php?stop=1099,0,
