from_stop_id,to_stop_id,transfer_type,min_transfer_time
1002,1003,2,300
1002,1030,2,300
1002,1032,2,300
1002,1033,2,311
1002,1361,2,300
1002,5554,2,300
1002,6082,2,428
1003,1002,2,300
1003,1030,2,454
1003,1032,2,347
1003,1190,2,416
1003,1361,2,300
1003,5194,2,386
1003,6082,2,589
1005,1028,2,336
1005,3526,2,449
1005,4288,2,300
1005,4298,2,324
1005,5194,2,300
1005,5779,2,333
1005,6367,2,357
1005,6428,2,300
1005,6442,2,300
1008,1009,2,305
1008,1025,2,300
1008,1027,2,300
1008,1356,2,300
1008,2271,2,300
1008,2273,2,300
1008,3527,2,384
1008,5788,2,300
1008,5789,2,300
1009,1008,2,305
1009,1010,2,300
1009,1021,2,855
1009,1022,2,594
1009,1024,2,300
1009,1025,2,300
1009,2235,2,422
1009,2238,2,609
1009,2273,2,300
1009,2274,2,369
1009,5788,2,300
1009,5789,2,300
1010,1009,2,300
1010,1011,2,300
1010,1022,2,449
1010,1023,2,307
1010,1024,2,300
1010,1025,2,300
1010,2273,2,304
1010,5789,2,300
1011,1010,2,300
1011,1022,2,300
1011,1023,2,300
1011,1024,2,300
1011,5774,2,345
1013,1021,2,300
1013,4299,2,300
1013,4300,2,300
1013,5774,2,300
1015,1018,2,300
1017,2280,2,300
1017,5043,2,300
1017,5728,2,300
1017,6368,2,344
1017,951,2,382
1018,1015,2,300
1021,1013,2,300
1021,1022,2,343
1021,1024,2,678
1021,1025,2,875
1021,3526,2,349
1021,4299,2,300
1021,4300,2,300
1021,5774,2,300
1021,6367,2,300
1022,1009,2,594
1022,1011,2,300
1022,1021,2,343
1022,1023,2,300
1022,3526,2,300
1022,4299,2,419
1022,4300,2,419
1022,5774,2,300
1022,6367,2,300
1023,1011,2,300
1023,1022,2,300
1023,1024,2,300
1023,5774,2,310
1023,6367,2,313
1024,1009,2,300
1024,1010,2,300
1024,1011,2,300
1024,1022,2,401
1024,1023,2,300
1024,1025,2,300
1024,2273,2,331
1024,5789,2,336
1025,1008,2,300
1025,1009,2,300
1025,1010,2,300
1025,1024,2,300
1025,2235,2,422
1025,2273,2,300
1025,2274,2,370
1025,5774,2,706
1025,5788,2,300
1025,5789,2,300
1027,1008,2,300
1027,1356,2,300
1027,2238,2,306
1027,2271,2,300
1027,3527,2,300
1027,5788,2,300
1028,1005,2,336
1028,3527,2,300
1028,4298,2,300
1028,6428,2,300
1030,1002,2,300
1030,1003,2,454
1030,1190,2,644
1030,1361,2,361
1030,5194,2,780
1030,6082,2,588
1032,1002,2,300
1032,1003,2,347
1032,1033,2,300
1032,1361,2,300
1032,5554,2,300
1032,6082,2,478
1032,6443,2,312
1033,1002,2,311
1033,1032,2,300
1033,5554,2,300
1033,6443,2,300
1034,999,2,534
1038,2811,2,300
1038,4175,2,300
1038,5534,2,423
1038,5633,2,300
1038,993,2,300
1038,995,2,300
1042,2003,2,931
1042,2780,2,300
1042,497,2,300
1042,498,2,300
1042,5178,2,300
1042,5634,2,843
1042,5865,2,300
1042,6159,2,388
1049,1051,2,300
1049,4114,2,300
1049,4115,2,300
1049,6277,2,300
1049,6278,2,300
1049,983,2,365
1049,985,2,300
1051,1049,2,300
1051,3515,2,300
