route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2024_08_12-DX-MVS-Weekday-001,1561500,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561596,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561501,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561551,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561502,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561597,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561503,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561552,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561504,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561598,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561505,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561553,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561506,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561554,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561507,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561555,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561508,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561556,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561509,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561557,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561510,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_08_12-DX-MVS-Weekday-001,1561558,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_08_12-DX-MVS-Weekday-001,1561511,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
