stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7006709,1960,"Cumberland Ave WB @ Market St","",35.96227,-83.917751,,,0,,,0,,
7006710,1032,"Cumberland Ave WB @ Locust St","",35.961449,-83.919774,,,0,,,0,,
7006711,2278,"Cumberland Ave WB @ 11th St","",35.959299,-83.92423,,,0,,,0,,
7006712,1002,"Cumberland at James Agee","",35.958137,-83.928302,,,0,,,0,,
7006713,1034,"Cumberland Ave WB @ 16th St","",35.957477,-83.93006,,,0,,,0,,
7006714,2728,"Cumberland WB before 18th Street","",35.956147,-83.933615,,,0,,,0,,
7006715,2729,"Cumberland WB mid-block before 22nd Street","",35.954329,-83.938417,,,0,,,0,,
7006716,1471,"Kingston Pike WB Mid-block before Concord","",35.952251,-83.944086,,,0,,,0,,
7006717,2383,"Kingston Pike WB @ Lindsay Pl","",35.951396,-83.948155,,,0,,,0,,
7006718,1472,"Kingston Pike WB @ 2nd Presbyterian Ch","",35.951078,-83.951389,,,0,,,0,,
7006719,1473,"Kingston Pike WB @ Calvary Baptist","",35.949564,-83.957649,,,0,,,0,,
7006720,1474,"Cherokee Blvd SB @ Kituwah Tr Outbound","",35.946225,-83.961185,,,0,,,0,,
7006721,1475,"Keowee SB After Cherokee Blvd","",35.939693,-83.960867,,,0,,,0,,
7006722,1476,"Keowee Ave WB @ Talahi Dr Outbound","",35.936455,-83.960714,,,0,,,0,,
7006723,1457,"Keowee Ave WB @ Kenesaw Ave","",35.933719,-83.963542,,,0,,,0,,
7006724,1458,"Keowee at  Kenesaw","",35.933585,-83.96405,,,0,,,0,,
7007204,1490,"Keowee Ave EB @ Talahi Dr","",35.936398,-83.960567,,,0,,,0,,
7007205,1491,"Keowee Ave EB @ Cherokee Blvd","",35.939757,-83.96081,,,0,,,0,,
7007206,1492,"Cherokee Blvd NB @ Kituwah Tr","",35.946326,-83.960928,,,0,,,0,,
7007207,1493,"Kingston Pike EB @ Calvary Baptist","",35.948706,-83.958883,,,0,,,0,,
7007208,1494,"Kingston Pike EB @ Crescent Bend Arm H","",35.951247,-83.948337,,,0,,,0,,
7007209,1495,"Kingston Pike EB @ Alcoa Hwy","",35.952207,-83.943373,,,0,,,0,,
7007210,2644,"Cumberland EB at the Commons","",35.953119,-83.941145,,,0,,,0,,
7007211,2281,"Cumberland Ave EB @ 21st St","",35.954204,-83.938439,,,0,,,0,,
7007212,2283,"Cumberland Ave EB @ Melrose Pl","",35.956302,-83.93289,,,0,,,0,,
7007213,1033,"Cumberland Ave EB @ Volunteer Blvd","",35.957198,-83.930435,,,0,,,0,,
7007214,1007,"Cumberland at Phillip Fulmer","",35.958045,-83.928163,,,0,,,0,,
7007215,1822,"Cumberland Ave EB @ Esterbrook Rd","",35.959085,-83.924586,,,0,,,0,,
7007216,1823,"Cumberland Ave EB @ Poplar Pl","",35.959498,-83.92281,,,0,,,0,,
7007217,2047,"Main St EB @ Walnut St","",35.960838,-83.918512,,,0,,,0,,
7007218,1048,"Trolley Super Stop on Main at the CC Bldg","",35.961288,-83.917387,,,0,,,0,,
7007219,2622,"State St WB at Church Avenue","",35.963751,-83.916067,,,0,,,0,,
7007854,1496,"Kingston Pike WB @ Laurel Church","",35.947411,-83.961513,,,0,,,0,,
7007855,2684,"Kingston PIke WB @ Oakhurst","",35.945267,-83.967174,,,0,,,0,,
7007856,2463,"Kingston Pike WB@ Scenic Dr","",35.944685,-83.969206,,,0,,,0,,
7007857,1016,"Kingston Pk. at Lyons View","",35.941285,-83.977855,,,0,,,0,,
7007858,1497,"Kingston Pike WB @ Forest Park","",35.941225,-83.982294,,,0,,,0,,
7007859,1498,"Kingston Pike WB @ Mercedes Pl","",35.941072,-83.985334,,,0,,,0,,
7007860,1499,"Kingston Pike WB @ Mohican St","",35.938704,-83.988879,,,0,,,0,,
7007861,1500,"Kingston Pike WB @ Cemetery Rd","",35.937007,-83.99117,,,0,,,0,,
7007862,2531,"Kingston Pike WB and Westwood","",35.934973,-83.994633,,,0,,,0,,
7007863,1502,"Kingston Pike WB @ Bearden Elem","",35.934141,-83.997613,,,0,,,0,,
7007864,1503,"Kingston Pike WB @ Bearden Rd","",35.933369,-84.000854,,,0,,,0,,
