trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
522780,5558,0,Sequoyah Hills,"",0,295730,17849,
522781,5558,0,Sequoyah Hills,"",0,295730,17849,
522782,5558,0,Sequoyah Hills,"",0,295732,17849,
522783,5558,0,Sequoyah Hills,"",0,295732,17849,
522784,5558,0,Sequoyah Hills,"",0,295732,17849,
522785,5558,0,To Downtown,"",1,295730,17852,
522786,5558,0,To Downtown,"",1,295730,17852,
522787,5558,0,To Downtown,"",1,295730,17852,
522788,5558,0,To Downtown,"",1,295732,17852,
522789,5558,0,To Downtown,"",1,295732,17852,
523117,5561,0,Beaumont,"",0,295744,17868,
523118,5561,0,Beaumont,"",0,295744,17868,
523119,5561,0,Beaumont,"",0,295744,17868,
523120,5561,0,Beaumont,"",0,295744,17868,
523121,5561,0,Beaumont,"",0,295744,17868,
523122,5561,0,Beaumont,"",0,295744,17868,
523123,5561,0,Beaumont,"",0,295744,17868,
523124,5561,0,Beaumont,"",0,295744,17868,
523125,5561,0,Beaumont,"",0,295744,17868,
523126,5561,0,Beaumont,"",0,295744,17868,
523127,5561,0,Beaumont,"",0,295744,17868,
523128,5561,0,Beaumont,"",0,295744,17868,
523129,5561,0,Beaumont,"",0,295744,17868,
523130,5561,0,Beaumont,"",0,295744,17868,
523131,5561,0,Beaumont,"",0,295744,17868,
523132,5561,0,To Central St.,"",1,295744,17869,
523133,5561,0,To Central St.,"",1,295744,17869,
523134,5561,0,To Central St.,"",1,295744,17869,
523135,5561,0,To Central St.,"",1,295744,17869,
523136,5561,0,To Central St.,"",1,295744,17869,
523137,5561,0,To Central St.,"",1,295744,17869,
523138,5561,0,To Central St.,"",1,295744,17869,
523139,5561,0,To Central St.,"",1,295744,17869,
523140,5561,0,To Central St.,"",1,295744,17869,
523141,5561,0,To Central St.,"",1,295744,17869,
523142,5561,0,To Central St.,"",1,295744,17869,
523143,5561,0,To Central St.,"",1,295744,17869,
523144,5561,0,To Central St.,"",1,295744,17869,
523145,5561,0,To Central St.,"",1,295744,17869,
523146,5561,0,To Central St.,"",1,295744,17869,
523147,5561,0,To Central St.,"",1,295744,17869,
523148,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523149,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523150,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523151,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523152,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523153,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523154,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523155,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523156,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523157,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523158,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523159,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523160,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523161,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523162,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523163,5562,0,Cedar Bluff Connector,"",0,295754,17872,
523164,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523165,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523166,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523167,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523168,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523169,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523170,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523171,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523172,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523173,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523174,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523175,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523176,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523177,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523178,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523179,5562,0,Cedar Bluff Connector,"",1,295754,17875,
523180,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523181,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523182,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523183,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523184,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523185,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523186,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523187,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523188,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523189,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523190,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523191,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523192,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523193,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523194,5562,1,Cedar Bluff Connector,"",0,295796,17872,
523195,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523196,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523197,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523198,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523199,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523200,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523201,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523202,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523203,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523204,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523205,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523206,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523207,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523208,5562,1,Cedar Bluff Connector,"",1,295796,17875,
523209,5562,1,Cedar Bluff Connector,"",1,295796,17875,
