service_id,date,exception_type
901,20220404,1
201,20220404,1
301,20220404,1
901,20220405,1
201,20220405,1
301,20220405,1
901,20220406,1
201,20220406,1
301,20220406,1
901,20220407,1
201,20220407,1
301,20220407,1
901,20220408,1
201,20220408,1
301,20220408,1
901,20220411,1
201,20220411,1
301,20220411,1
901,20220412,1
201,20220412,1
301,20220412,1
901,20220413,1
201,20220413,1
301,20220413,1
1001,20220414,1
201,20220414,1
401,20220414,1
1001,20220415,1
201,20220415,1
401,20220415,1
901,20220418,1
201,20220418,1
301,20220418,1
901,20220419,1
201,20220419,1
301,20220419,1
901,20220420,1
201,20220420,1
301,20220420,1
901,20220421,1
201,20220421,1
301,20220421,1
901,20220422,1
201,20220422,1
301,20220422,1
901,20220425,1
201,20220425,1
301,20220425,1
901,20220426,1
201,20220426,1
301,20220426,1
901,20220427,1
201,20220427,1
301,20220427,1
901,20220428,1
201,20220428,1
301,20220428,1
901,20220429,1
201,20220429,1
301,20220429,1
901,20220502,1
201,20220502,1
301,20220502,1
901,20220503,1
201,20220503,1
301,20220503,1
901,20220504,1
201,20220504,1
301,20220504,1
901,20220505,1
201,20220505,1
301,20220505,1
901,20220506,1
201,20220506,1
301,20220506,1
901,20220509,1
201,20220509,1
301,20220509,1
901,20220510,1
201,20220510,1
301,20220510,1
901,20220511,1
201,20220511,1
301,20220511,1
901,20220512,1
201,20220512,1
301,20220512,1
901,20220513,1
201,20220513,1
301,20220513,1
901,20220516,1
201,20220516,1
301,20220516,1
901,20220517,1
201,20220517,1
301,20220517,1
901,20220518,1
201,20220518,1
301,20220518,1
901,20220519,1
201,20220519,1
301,20220519,1
901,20220520,1
201,20220520,1
301,20220520,1
901,20220523,1
101,20220523,1
301,20220523,1
901,20220524,1
101,20220524,1
301,20220524,1
901,20220525,1
101,20220525,1
301,20220525,1
901,20220526,1
101,20220526,1
401,20220526,1
1001,20220527,1
201,20220527,1
401,20220527,1
3,20220530,1
1,20220530,2
1001,20220531,1
201,20220531,1
401,20220531,1
1001,20220601,1
201,20220601,1
401,20220601,1
1001,20220602,1
201,20220602,1
401,20220602,1
1001,20220603,1
201,20220603,1
401,20220603,1
1001,20220606,1
201,20220606,1
401,20220606,1
1001,20220607,1
201,20220607,1
401,20220607,1
1001,20220608,1
201,20220608,1
401,20220608,1
1001,20220609,1
201,20220609,1
401,20220609,1
1001,20220610,1
201,20220610,1
401,20220610,1
1001,20220613,1
201,20220613,1
401,20220613,1
1001,20220614,1
201,20220614,1
401,20220614,1
1001,20220615,1
201,20220615,1
401,20220615,1
1001,20220616,1
201,20220616,1
401,20220616,1
1001,20220617,1
201,20220617,1
401,20220617,1
1001,20220620,1
201,20220620,1
401,20220620,1
1001,20220621,1
201,20220621,1
401,20220621,1
1001,20220622,1
201,20220622,1
401,20220622,1
1001,20220623,1
201,20220623,1
401,20220623,1
1001,20220624,1
201,20220624,1
401,20220624,1
1001,20220627,1
201,20220627,1
401,20220627,1
1001,20220628,1
201,20220628,1
401,20220628,1
1001,20220629,1
201,20220629,1
401,20220629,1
1001,20220630,1
201,20220630,1
401,20220630,1
1001,20220701,1
201,20220701,1
401,20220701,1
3,20220704,1
1,20220704,2
1001,20220705,1
201,20220705,1
401,20220705,1
1001,20220706,1
201,20220706,1
401,20220706,1
1001,20220707,1
201,20220707,1
401,20220707,1
1001,20220708,1
201,20220708,1
401,20220708,1
1001,20220711,1
201,20220711,1
401,20220711,1
1001,20220712,1
201,20220712,1
401,20220712,1
1001,20220713,1
201,20220713,1
401,20220713,1
1001,20220714,1
201,20220714,1
401,20220714,1
1001,20220715,1
201,20220715,1
401,20220715,1
1001,20220718,1
201,20220718,1
401,20220718,1
1001,20220719,1
201,20220719,1
401,20220719,1
1001,20220720,1
201,20220720,1
401,20220720,1
1001,20220721,1
201,20220721,1
401,20220721,1
1001,20220722,1
201,20220722,1
401,20220722,1
1001,20220725,1
201,20220725,1
401,20220725,1
1001,20220726,1
201,20220726,1
401,20220726,1
1001,20220727,1
201,20220727,1
401,20220727,1
1001,20220728,1
201,20220728,1
401,20220728,1
1001,20220729,1
201,20220729,1
401,20220729,1
1001,20220801,1
201,20220801,1
401,20220801,1
1001,20220802,1
201,20220802,1
401,20220802,1
1001,20220803,1
201,20220803,1
401,20220803,1
1001,20220804,1
201,20220804,1
401,20220804,1
1001,20220805,1
201,20220805,1
401,20220805,1
901,20220808,1
201,20220808,1
301,20220808,1
901,20220809,1
201,20220809,1
301,20220809,1
901,20220810,1
201,20220810,1
301,20220810,1
901,20220811,1
201,20220811,1
301,20220811,1
901,20220812,1
201,20220812,1
301,20220812,1
901,20220815,1
201,20220815,1
301,20220815,1
901,20220816,1
201,20220816,1
301,20220816,1
901,20220817,1
201,20220817,1
301,20220817,1
901,20220818,1
201,20220818,1
301,20220818,1
901,20220819,1
201,20220819,1
301,20220819,1
901,20220822,1
201,20220822,1
301,20220822,1
901,20220823,1
201,20220823,1
301,20220823,1
901,20220824,1
201,20220824,1
301,20220824,1
901,20220825,1
201,20220825,1
301,20220825,1
901,20220826,1
201,20220826,1
301,20220826,1
901,20220829,1
201,20220829,1
301,20220829,1
901,20220830,1
201,20220830,1
301,20220830,1
901,20220831,1
201,20220831,1
301,20220831,1
901,20220901,1
201,20220901,1
301,20220901,1
1001,20220902,1
201,20220902,1
401,20220902,1
3,20220905,1
1,20220905,2
901,20220906,1
201,20220906,1
301,20220906,1
901,20220907,1
201,20220907,1
301,20220907,1
901,20220908,1
201,20220908,1
301,20220908,1
901,20220909,1
201,20220909,1
301,20220909,1
901,20220912,1
201,20220912,1
301,20220912,1
901,20220913,1
201,20220913,1
301,20220913,1
901,20220914,1
201,20220914,1
301,20220914,1
901,20220915,1
201,20220915,1
301,20220915,1
901,20220916,1
201,20220916,1
301,20220916,1
901,20220919,1
201,20220919,1
301,20220919,1
901,20220920,1
201,20220920,1
301,20220920,1
901,20220921,1
201,20220921,1
301,20220921,1
901,20220922,1
201,20220922,1
301,20220922,1
901,20220923,1
201,20220923,1
301,20220923,1
901,20220926,1
201,20220926,1
301,20220926,1
901,20220927,1
201,20220927,1
301,20220927,1
901,20220928,1
201,20220928,1
301,20220928,1
901,20220929,1
201,20220929,1
301,20220929,1
901,20220930,1
201,20220930,1
301,20220930,1
