stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10AHERNN,10AHERNN,10TH AVE N & HERMAN ST NB,10TH AV N & HERMAN ST,36.168831,-86.792339,,,,,,
11AWHESN,11AWHESN,11TH AVE N & WHEELESS ST SB,,36.179003,-86.803879,,,,,,
12AARCSM,12AARCSM,12TH AVE S & ARCHER ST SB,12TH AV S & ARCHER ST,36.144535,-86.786549,,,,,,0
12AARCNN,12AARCNN,12TH AVE S & ARCHER ST,12TH AV S & ARCHER ST,36.14523,-86.786168,,,,,,0
12AARGNN,12AARGNN,12TH AVE S & ARGYLE AVE NB,1439 S 12TH AVE & ARGYLE AVE,36.137658,-86.788029,,,,,,0
12ACALSN,12ACALSN,12TH AVE S & CALDWELL AVE SB,12TH AV S & CALDWELL AV,36.132811,-86.788803,,,,,,
12ACALNM,12ACALNM,12TH AVE S & CALDWELL AVE NB,12TH AV S & CALDWELL AV,36.132436,-86.788657,,,,,,
12ADEMNN,12ADEMNN,12TH AVE S & DEMONBREUN ST NB,12TH AV S & DEMONBREUN ST,36.154509,-86.786056,,,,,,
12ADIVNN,12ADIVNN,12TH AVE S & DIVISION ST NB,731 12TH AVE & DIVISION ST,36.150807,-86.784265,,,,,,0
12AEDGSN,12AEDGSN,12TH AVE S & EDGEHILL AVE SB,12TH AV S & EDGEHILL AV,36.142972,-86.787031,,,,,,0
12AEDGNN,12AEDGNN,12TH AVE S & EDGEHILL AVE NB,12TH AV S & EDGEHILL AV,36.142624,-86.786998,,,,,,
GRAFERSN,GRAFERSN,GRANNY WHITE PIKE & FERGUSON AVE SB,GRANNY WHITE PK & FERGUSON AV,36.118934,-86.791122,,,,,,
GRAFERNN,GRAFERNN,GRANNY WHITE PIKE & FERGUSON AVE NB,GRANNY WHITE PK & FERGUSON AV,36.118756,-86.791055,,,,,,
12AHAWSN,12AHAWSN,12TH AVE S & HAWKINS ST SB,12TH AV S & HAWKINS ST,36.148669,-86.785136,,,,,,0
12AHAWNN,12AHAWNN,12TH AVE S & HAWKINS ST NB,12TH AV S & HAWKINS ST,36.148383,-86.785282,,,,,,
12AHORSM,12AHORSM,12TH AVE S & EDGEHILL AVE SB,12TH AV S & HORTON AV,36.141267,-86.78739,,,,,,0
12AHORSN,12AHORSN,12TH AVE S & HORTON AVE SB,12TH AV S & HORTON AV,36.140043,-86.787626,,,,,,0
12AHORNN,12AHORNN,12TH AVE S & HORTON AVE NB,12TH AV S & HORTON AV,36.139606,-86.787525,,,,,,0
12ALAWNF,12ALAWNF,12TH AVE S & LAWRENCE AVE NB,12TH AV S & UNKNOWN AL,36.129319,-86.788814,,,,,,0
12ALINNN,12ALINNN,12TH AVE S & LINDEN AVE NB,12TH AV S & LINDEN AV,36.127614,-86.789082,,,,,,0
12ASWENF,12ASWENF,12TH AVE S & SWEETBRIAR AVE NB,12TH AV S & SWEETBRIAR AV,36.123872,-86.789755,,,,,,
12ASOUSN,12ASOUSN,12TH AVE S & SOUTH ST SB,12TH AV S & SOUTH ST,36.147571,-86.785719,,,,,,0
12ASOUNN,12ASOUNN,12TH AVE S & SOUTH ST NB,12TH AV S & SOUTH ST,36.147008,-86.785776,,,,,,0
12ASUMSF,12ASUMSF,12TH AVE S & SUMMIT AVE SB,12TH AV S & SUMMIT AV,36.138427,-86.787895,,,,,,
12AWEDSN,12AWEDSN,12TH AVE S & WEDGEWOOD AVE SB,12TH AVE S & WADE AVE,36.136823,-86.78843,,,,,,0
12AWEDNN,12AWEDNN,12TH AVE S & WEDGEWOOD AVE NB,12TH AV S & WEDGEWOOD AV,36.135945,-86.788702,,,,,,
12AWEDSF,12AWEDSF,12TH AVE S & WEDGEWOOD SB,12TH AV S & W GROVE AV,36.135496,-86.789043,,,,,,
12AWESNN,12AWESNN,12TH AVE S & WEST GROVE AVE NB,12TH AV S & W GROVE AV,36.134748,-86.788904,,,,,,
16SEASNN,16SEASNN,N 16TH ST & EASTLAND AVE NB,,36.182851,-86.740997,,,,,,
19SLILNN,19SLILNN,S 19TH ST & LILLIAN ST NB,,36.171492,-86.737189,,,,,,0
19SSHESN,19SSHESN,S 19TH ST & SHELBY AVE EB,,36.170153,-86.737493,,,,,,
1SJAMNM,1SJAMNM,N 1ST ST & JAMES ROBERTSON PKWY NB,N 1ST ST & MAIN ST,36.172643,-86.773761,,,,,,
1SWOONM,1SWOONM,S 1ST ST & WOODLAND ST NB,N 1ST ST & MAIN ST,36.169643,-86.772415,,,,,,
20ABRONF,20ABRONF,20TH AVE S & BROADWAY AVE NB,20TH AV S & BROADWAY,36.149954,-86.798191,,,,,,
20ACHUNN,20ACHUNN,20TH AVE N & CHURCH ST NB,20TH AV N & CHURCH ST,36.153222,-86.800614,,,,,,0
20ASTANF,20ASTANF,20TH AVE N & STATE ST,20TH AV N & STATE ST,36.154615,-86.801666,,,,,,
20AWESNN,20AWESNN,20TH AVE S & WEST END AVE NB,20TH AV S & WEST END AV,36.151061,-86.799021,,,,,,0
21AACKSF,21AACKSF,21ST AVE S & ACKLEN AVE SB,21ST AV S & ACKLEN AV,36.135345,-86.801115,,,,,,0
21ACHINN,21ACHINN,21ST AVE S & CHILDRENS WAY NB,21ST AV S & CHILDRENS WY,36.138372,-86.800622,,,,,,0
21ABLANN,21ABLANN,21ST AVE S & BLAIR BLVD NB,21ST AV S & BLAIR BV,36.130158,-86.80197,,,,,,0
21ACAPSN,21ACAPSN,21ST AVE S & CAPERS AVE SB,21ST AV S & CAPERS AV,36.138881,-86.800622,,,0,,,0
21AEDGNF,21AEDGNF,21ST AVE S & EDGEHILL AVE NB,21ST AV S & EDGEHILL AV,36.144373,-86.799749,,,,,,
21AFAINN,21AFAINN,21ST AVE S & FAIRFAX AVE NB,US HWY 431 & 21ST AVE S,36.134135,-86.801021,,,,,,
21AMEDNN,21AMEDNN,21ST AVE S & MEDICAL CENTER DR NB,21ST AV S & GARLAND AV,36.142676,-86.79995,,,,,,0
21AMEDSF,21AMEDSF,21ST AVE S & MEDICAL CENTER DR SB,21ST AV S & GARLAND AV,36.142489,-86.800118,,,,,,1
21AGRANN,21AGRANN,21ST AVE S & GRAND AVE NB,21ST AV S & GRAND AV,36.147335,-86.79928,,,,,,0
HER24AEN,HER24AEN,HERMAN ST & 24TH AVE N EB,HERMAN ST & 24TH AV N,36.162113,-86.812001,,,,,,
21APIENM,21APIENM,21ST AVE S & PIERCE AVE NB,21ST AV S & DIXIE PL,36.140259,-86.800294,,,,,,0
21APIESN,21APIESN,21ST AVE S & PIERCE AVE SB,21ST AV S & PIERCE AV,36.13998,-86.800488,,,,,,0
21AWOOSN,21AWOOSN,21ST AVE S & WOODLAWN DR SB,21ST AV S & WOODLAWN DR,36.125424,-86.805563,,,,,,
23ACLANN,23ACLANN,23RD AVE N & CLARKSVILLE PIKE NB,23RD AV N & CLARKSVILLE PK,36.18348,-86.81422,,,,,,
